Product ID;Active (0/1);Name;Categories;Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;;Unit for the unit price;Unit price;Short description;Description;Tags;Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs;Delete existing images (0 = No, 1 = Yes);Feature (Name:Value:Position:Customized);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Action when out of stock;ID / Name of shop;Advanced Stock Management;Depends on stock;Warehouse
101;1;Носки 01;ТМ Legka Khoda;17.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
102;1;Имя товара 02;ТМ Legka Khoda;18.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
103;1;Имя товара 03;ТМ Legka Khoda;19.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
104;1;Колготки детские;ТМ Legka Khoda;20.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
105;1;Имя товара 05;ТМ Legka Khoda;21.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
106;1;Имя товара 06;ТМ Legka Khoda;22.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
107;1;Имя товара 07;ТМ Legka Khoda;23.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
108;1;Sale Имя товара 08;ТМ Legka Khoda;24.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";дитячі;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
109;1;Sale  Имя товара 09;ТМ Legka Khoda;25.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";дитячі;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
110;1;Sale Имя товара 10;ТМ Legka Khoda;26.68;1;0;;;;;;;;;;;;;;;;;;;;;;;"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">текст описание</span></p>";"<p><span style=""font-size:10pt;font-family:Tahoma;font-style:normal;"">Desc описание</span></p>";дитячі;;;;;;;1;0000-00-00;2018-09-12;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;;;;;1;;;
